learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.0,0.0,100.0,70.0,35.897435897435884,36.17021276595743,24.999999999999993,100.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.0,0.0,200.0,77.0,51.23502597264922,50.53763440860215,41.77215189873419,200.0,544.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
300.0,0.015625,2.3735790616936155E-11,300.0,79.66666666666666,57.6624097723487,61.146496815286625,51.58730158730158,300.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
400.0,0.015625,2.3735790616936155E-11,400.0,82.75,64.37790397521941,66.82692307692308,59.88372093023256,400.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
500.0,0.015625,2.3735790616936155E-11,500.0,84.2,67.31647580591779,68.77470355731225,62.91079812206573,500.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
600.0,0.015625,2.3735790616936155E-11,600.0,85.33333333333334,69.89051094890513,70.7641196013289,66.15384615384616,600.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
700.0,0.015625,2.3735790616936155E-11,700.0,84.57142857142857,68.11418159732767,68.23529411764707,63.75838926174497,700.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
800.0,0.015625,2.3735790616936155E-11,800.0,85.375,69.99038153254247,69.53125,66.1849710982659,800.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
900.0,0.03125,6.997854345374638E-11,900.0,86.33333333333333,71.89385168484552,72.35955056179775,68.13471502590673,900.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
1000.0,0.03125,6.997854345374638E-11,1000.0,87.1,73.5477944191998,74.09638554216868,70.20785219399538,1000.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
1100.0,0.03125,6.997854345374638E-11,1100.0,89.5,78.51970050325274,79.24901185770752,75.86206896551725,1100.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
1200.0,0.03125,6.997854345374638E-11,1200.0,90.5,80.55510070411005,81.37254901960786,78.16091954022988,1200.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
1300.0,0.03125,6.997854345374638E-11,1300.0,91.2,82.00224971878515,82.22222222222223,79.77011494252875,1300.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
1400.0,0.03125,6.997854345374638E-11,1400.0,91.4,82.29279481467145,82.44897959183675,79.66903073286053,1400.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
1500.0,0.03125,6.997854345374638E-11,1500.0,91.4,82.32816192335355,82.5910931174089,79.76470588235294,1500.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
1600.0,0.046875,1.2724841427471904E-10,1600.0,91.7,82.92883587001235,83.13008130081302,80.47058823529413,1600.0,14168.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
1700.0,0.046875,1.2724841427471904E-10,1700.0,93.10000000000001,85.81624430594157,85.88957055214725,83.72641509433963,1700.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
1800.0,0.046875,1.2724841427471904E-10,1800.0,93.60000000000001,86.79350405480697,86.91206543967282,84.7255369928401,1800.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
1900.0,0.046875,1.2724841427471904E-10,1900.0,93.89999999999999,87.42516945099526,87.34439834024896,85.4415274463007,1900.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
2000.0,0.046875,1.2724841427471904E-10,2000.0,93.60000000000001,86.83923716928443,86.77685950413225,84.86997635933807,2000.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
2100.0,0.046875,1.2724841427471904E-10,2100.0,93.89999999999999,87.45103847799611,87.34439834024896,85.51068883610449,2100.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
2200.0,0.046875,1.2724841427471904E-10,2200.0,93.7,87.09904655810755,86.92946058091287,85.28037383177572,2200.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
2300.0,0.0625,1.8532672483060097E-10,2300.0,94.1,87.93268483445279,87.83505154639174,86.24708624708623,2300.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
2400.0,0.0625,1.8532672483060097E-10,2400.0,93.7,87.17374485931839,87.06365503080083,85.58352402745997,2400.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
2500.0,0.0625,1.8532672483060097E-10,2500.0,94.19999999999999,88.16983225638012,88.30645161290322,86.697247706422,2500.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
2600.0,0.0625,1.8532672483060097E-10,2600.0,94.19999999999999,88.11996378637235,88.35341365461846,86.48018648018648,2600.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
2700.0,0.0625,1.8532672483060097E-10,2700.0,93.8,87.30720254838616,87.77120315581854,85.48009367681497,2700.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
2800.0,0.0625,1.8532672483060097E-10,2800.0,93.5,86.66349326198646,87.42746615087042,84.66981132075473,2800.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
2900.0,0.0625,1.8532672483060097E-10,2900.0,93.30000000000001,86.30573769151529,86.99029126213593,84.49074074074076,2900.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
3000.0,0.0625,1.8532672483060097E-10,3000.0,93.60000000000001,86.87314121628552,87.35177865612648,84.94117647058826,3000.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
3100.0,0.0625,1.8532672483060097E-10,3100.0,93.30000000000001,86.20718050065878,86.70634920634922,84.04761904761907,3100.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
3200.0,0.078125,2.4340503538648287E-10,3200.0,94.0,87.57043420616506,88.04780876494023,85.36585365853657,3200.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
3300.0,0.078125,2.4340503538648287E-10,3300.0,94.3,88.13004473098933,88.55421686746988,85.82089552238806,3300.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
3400.0,0.078125,2.4340503538648287E-10,3400.0,94.8,89.1484450973927,89.36605316973414,86.9674185463659,3400.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
3500.0,0.078125,2.4340503538648287E-10,3500.0,94.69999999999999,89.05727381591443,88.69936034115138,87.07317073170731,3500.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
3600.0,0.078125,2.4340503538648287E-10,3600.0,94.89999999999999,89.46246156897747,89.03225806451613,87.53056234718825,3600.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
3700.0,0.078125,2.4340503538648287E-10,3700.0,95.5,90.79001227998363,90.52631578947367,89.38679245283018,3700.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
3800.0,0.078125,2.4340503538648287E-10,3800.0,95.3,90.39813029124308,89.87068965517241,89.01869158878503,3800.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
3900.0,0.078125,2.4340503538648287E-10,3900.0,95.39999999999999,90.6052275781502,89.82300884955751,89.2271662763466,3900.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
4000.0,0.09375,3.1331890366143647E-10,4000.0,94.89999999999999,89.61641827510383,88.91304347826086,88.27586206896551,4000.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
4100.0,0.09375,3.1331890366143647E-10,4100.0,94.69999999999999,89.25289360770222,88.37719298245614,88.00904977375565,4100.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
4200.0,0.09375,3.1331890366143647E-10,4200.0,94.0,87.83637491536143,86.84210526315789,86.45598194130925,4200.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
4300.0,0.09375,3.1331890366143647E-10,4300.0,93.2,86.22232307841931,85.15283842794761,84.82142857142858,4300.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
4400.0,0.09375,3.1331890366143647E-10,4400.0,93.5,86.88267867809691,86.19957537154991,85.77680525164115,4400.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
4500.0,0.09375,3.1331890366143647E-10,4500.0,93.30000000000001,86.40819241130839,86.04166666666667,84.90990990990991,4500.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
4600.0,0.09375,3.1331890366143647E-10,4600.0,93.30000000000001,86.4780864272279,85.98326359832636,85.24229074889868,4600.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
4700.0,0.09375,3.1331890366143647E-10,4700.0,93.30000000000001,86.43900385375176,85.89473684210527,85.01118568232663,4700.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
4800.0,0.09375,3.1331890366143647E-10,4800.0,93.89999999999999,87.65871699212585,87.18487394957982,86.32286995515693,4800.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
4900.0,0.109375,3.8323277193639007E-10,4900.0,94.1,88.04748592034358,87.88501026694044,86.65158371040724,4900.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
5000.0,0.109375,3.8323277193639007E-10,5000.0,94.8,89.42784299533605,89.23395445134574,87.93503480278422,5000.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
5100.0,0.109375,3.8323277193639007E-10,5100.0,95.39999999999999,90.67069584440343,90.7258064516129,89.4736842105263,5100.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
5200.0,0.109375,3.8323277193639007E-10,5200.0,95.5,90.90879705202592,91.05367793240556,89.84198645598192,5200.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
5300.0,0.109375,3.8323277193639007E-10,5300.0,95.5,90.90247452692867,91.10671936758892,89.60739030023093,5300.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
5400.0,0.109375,3.8323277193639007E-10,5400.0,95.39999999999999,90.68090192662223,90.76305220883533,89.27738927738928,5400.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
5500.0,0.109375,3.8323277193639007E-10,5500.0,95.89999999999999,91.7207175916577,91.78356713426852,90.61784897025171,5500.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
5600.0,0.109375,3.8323277193639007E-10,5600.0,95.7,91.28199305803354,91.60156249999999,89.95327102803738,5600.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
5700.0,0.125,4.5314664021134367E-10,5700.0,95.5,90.88515292687866,91.01796407185628,89.53488372093022,5700.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
5800.0,0.125,4.5314664021134367E-10,5800.0,95.1,90.07598956561188,90.06085192697768,88.57808857808857,5800.0,19744.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
5900.0,0.125,4.5314664021134367E-10,5900.0,94.6,89.05220476431829,88.95705521472391,87.29411764705881,5900.0,22672.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
6000.0,0.125,4.5314664021134367E-10,6000.0,94.5,88.89606718888798,88.56548856548856,87.35632183908045,6000.0,22672.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
6100.0,0.125,4.5314664021134367E-10,6100.0,93.89999999999999,87.66919481863607,87.07627118644066,85.87962962962962,6100.0,22672.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
6200.0,0.125,4.5314664021134367E-10,6200.0,94.0,87.86009978997971,87.04103671706262,86.14318706697458,6200.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
6300.0,0.125,4.5314664021134367E-10,6300.0,94.0,87.83454987834548,86.78414096916298,86.1111111111111,6300.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
6400.0,0.140625,5.459231841895315E-10,6400.0,93.5,86.78227767791056,85.96112311015119,84.84848484848486,6400.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
6500.0,0.140625,5.459231841895315E-10,6500.0,93.0,85.7139941631462,84.78260869565219,83.45153664302602,6500.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
6600.0,0.140625,5.459231841895315E-10,6600.0,92.60000000000001,84.86088379705402,83.70044052863437,82.3809523809524,6600.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
6700.0,0.140625,5.459231841895315E-10,6700.0,92.80000000000001,85.27848204792673,84.51612903225806,82.93838862559242,6700.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
6800.0,0.140625,5.459231841895315E-10,6800.0,93.0,85.67780796804925,85.32494758909854,83.49056603773586,6800.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
6900.0,0.140625,5.459231841895315E-10,6900.0,93.30000000000001,86.3283163015443,86.01252609603341,84.45475638051046,6900.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
7000.0,0.15625,6.386997281677193E-10,7000.0,93.4,86.45325758104443,86.33540372670808,84.32304038004752,7000.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
7100.0,0.15625,6.386997281677193E-10,7100.0,93.5,86.62738546869987,86.37316561844864,84.48687350835323,7100.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
7200.0,0.15625,6.386997281677193E-10,7200.0,93.2,86.00707877191539,85.71428571428572,83.88625592417063,7200.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
7300.0,0.15625,6.386997281677193E-10,7300.0,93.60000000000001,86.89099452289366,86.96537678207741,85.0815850815851,7300.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
7400.0,0.15625,6.386997281677193E-10,7400.0,93.8,87.33178862885,87.32106339468302,85.68129330254041,7400.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
7500.0,0.15625,6.386997281677193E-10,7500.0,94.3,88.35717728955088,88.3673469387755,86.8663594470046,7500.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
7600.0,0.15625,6.386997281677193E-10,7600.0,94.6,88.99809300278714,89.09090909090908,87.67123287671231,7600.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
7700.0,0.171875,7.314762721459071E-10,7700.0,94.5,88.69475847893113,88.84381338742392,87.05882352941175,7700.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
7800.0,0.171875,7.314762721459071E-10,7800.0,94.3,88.31287060502423,88.6,86.61971830985914,7800.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
7900.0,0.171875,7.314762721459071E-10,7900.0,94.39999999999999,88.48305363606448,89.01960784313725,86.66666666666666,7900.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
8000.0,0.171875,7.314762721459071E-10,8000.0,94.19999999999999,88.03042747883654,88.58267716535431,86.09112709832132,8000.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
8100.0,0.171875,7.314762721459071E-10,8100.0,94.69999999999999,89.03300032280225,89.58742632612966,87.10462287104622,8100.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
8200.0,0.171875,7.314762721459071E-10,8200.0,95.0,89.66553538727372,90.23437499999999,87.7149877149877,8200.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
8300.0,0.171875,7.314762721459071E-10,8300.0,95.39999999999999,90.52636348283829,90.81836327345309,88.86198547215496,8300.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
8400.0,0.171875,7.314762721459071E-10,8400.0,95.3,90.31047705438502,90.6,88.53658536585365,8400.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
8500.0,0.1875,8.242528161240949E-10,8500.0,94.69999999999999,89.08926218708825,89.5049504950495,87.10462287104622,8500.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
8600.0,0.1875,8.242528161240949E-10,8600.0,94.69999999999999,89.0816200403774,89.3574297188755,87.07317073170731,8600.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
8700.0,0.1875,8.242528161240949E-10,8700.0,94.3,88.35613080354953,88.41463414634146,86.52482269503545,8700.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
8800.0,0.1875,8.242528161240949E-10,8800.0,94.5,88.72923104666506,88.75255623721881,86.96682464454976,8800.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
8900.0,0.1875,8.242528161240949E-10,8900.0,94.5,88.7505317930425,88.51774530271398,87.14953271028037,8900.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
9000.0,0.1875,8.242528161240949E-10,9000.0,94.6,88.94475653897177,88.77338877338876,87.32394366197182,9000.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
9100.0,0.1875,8.242528161240949E-10,9100.0,94.19999999999999,88.11864962307439,88.06584362139917,86.38497652582159,9100.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
9200.0,0.1875,8.242528161240949E-10,9200.0,94.0,87.66959445296155,87.551867219917,85.81560283687942,9200.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
9300.0,0.203125,9.170293601022827E-10,9300.0,93.5,86.57080285938599,86.1407249466951,84.33734939759037,9300.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
9400.0,0.203125,9.170293601022827E-10,9400.0,94.0,87.6172236164311,87.26114649681527,85.57692307692307,9400.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
9500.0,0.203125,9.170293601022827E-10,9500.0,94.19999999999999,87.97743073549103,87.58029978586723,85.95641646489102,9500.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
9600.0,0.203125,9.170293601022827E-10,9600.0,94.3,88.17113258292657,87.8205128205128,86.16504854368931,9600.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
9700.0,0.203125,9.170293601022827E-10,9700.0,94.69999999999999,88.85833690707432,88.40262582056891,86.64987405541561,9700.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
9800.0,0.203125,9.170293601022827E-10,9800.0,94.69999999999999,88.88767748266058,88.24833702882482,86.68341708542712,9800.0,22952.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
9900.0,0.203125,9.170293601022827E-10,9900.0,94.3,88.01493717303906,87.33333333333331,85.45918367346937,9900.0,25480.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
